,anime,votes,weight,rate,rate_1,rate_2,rate_3,rate_4,rate_5
591,Ahiru no Sora,46,199,4.33,2,5,2,4,33
592,The Severing Crime Edge,46,195,4.24,0,2,9,11,24
593,Seton Academy: Join the Pack!,46,193,4.2,3,5,0,10,28
594,Magical Girl Spec-Ops Asuka,46,185,4.02,3,4,5,11,23
595,Lovely Muuuuuuuco!,46,185,4.02,7,2,0,11,26
596,UzaMaid!,46,176,3.83,5,5,4,11,21
597,Convenience Store Boy Friends,46,163,3.54,4,5,13,10,14
598,Tokyo Ghoul: re,46,142,3.09,13,7,5,5,16
599,Love Live! Sunshine!!,45,206,4.58,0,1,3,10,31
600,GARO -VANISHING LINE-,45,202,4.49,0,2,5,7,31
601,Yu-Gi-Oh!,45,191,4.24,3,2,4,8,28
602,18if,45,159,3.53,6,4,11,8,16
603,Anifile,45,132,2.93,21,0,1,7,16
604,Black Butler: Book of Circus,44,213,4.84,1,0,0,3,40
605,A Certain Scientific Railgun,44,205,4.66,2,0,2,3,37
606,AIURA,44,185,4.2,0,0,11,13,20
607,Comic Girls,44,184,4.18,1,4,6,8,25
608,Owarimonogatari,43,204,4.74,1,1,1,2,38
609,Symphogear,43,199,4.63,0,3,2,3,35
610,Ojisan and Marshmallow,43,193,4.49,0,1,4,11,27
611,Teekyu,43,184,4.28,2,3,3,8,27
612,Girly Air Force,43,170,3.95,3,4,6,9,21
613,IDOLiSH7,42,202,4.81,0,2,0,2,38
614,YUYUSHIKI,42,191,4.55,0,0,6,7,29
615,Kaede New Town,42,186,4.43,4,0,2,4,32
616,Full Metal Panic! Invisible Victory,42,185,4.4,4,0,2,5,31
617,A Certain Scientific Accelerator,42,173,4.12,2,4,3,11,22
618,This Art Club Has a Problem!,42,172,4.1,0,5,6,11,20
619,gdgd Fairies,42,170,4.05,7,1,2,5,27
620,Onee-chan ga Kita,42,165,3.93,3,3,5,14,17
621,The Reflection,42,141,3.36,6,9,4,10,13
622,The Garden of Sinners,41,189,4.61,2,0,2,4,33
623,Chitose Get You!,41,174,4.24,3,2,1,11,24
624,Katana Maidens ~ Toji No Miko,41,165,4.02,0,5,7,11,18
625,Miss Monochrome - The Animation,41,159,3.88,2,5,5,13,16
626,Ai-Mai-Mi,41,145,3.54,6,7,5,5,18
627,Ange Vierge,41,108,2.63,17,6,4,3,11
628,Akagi,40,187,4.68,1,0,2,5,32
629,KINMOZA!,40,180,4.5,1,1,4,5,29
630,Cuticle Detective Inaba,40,174,4.35,3,2,2,4,29
631,I've Always Liked You,40,169,4.22,1,4,3,9,23
632,Photo Kano,40,122,3.05,5,11,9,7,8
633,Chivalry of a Failed Knight,39,187,4.79,1,0,0,4,34
634,Magic Kaito 1412,39,181,4.64,1,0,3,4,31
635,This Boy is a Professional Wizard,39,173,4.44,0,0,5,12,22
636,My Sweet Tyrant,39,160,4.1,3,2,4,9,21
637,YU-NO: A Girl Who Chants Love at the Bound of This World,39,150,3.85,4,3,8,4,20
638,ALL OUT!!,38,186,4.89,0,0,1,2,35
639,TO BE HERO,38,172,4.53,1,0,2,10,25
640,Our love has always been 10 centimeters apart.,38,171,4.5,0,1,3,10,24
641,Hayate the Combat Butler!,38,163,4.29,1,2,3,11,21
642,Clean Freak! Aoyama kun,38,136,3.58,5,4,8,6,15
643,"RErideD - Derrida, who leaps through time",38,113,2.97,4,8,14,9,3
644,Natsume Yuujinchou 6,37,184,4.97,0,0,0,1,36
645,MOBILE SUIT GUNDAM 00,37,174,4.7,0,0,3,5,29
646,WATATEN!: an Angel Flew Down to Me,37,170,4.59,0,1,3,6,27
647,Sanrio Boys,37,163,4.41,0,2,5,6,24
648,Magimoji Rurumo,37,161,4.35,2,0,3,10,22
649,Hakuoki Reimeiroku,37,160,4.32,2,0,5,7,23
650,Day Break Illusion,37,154,4.16,3,1,4,8,21
651,Celestial Method,37,152,4.11,2,3,3,10,19
652,Yuuna and the Haunted Hot Springs,37,144,3.89,3,2,7,9,16
653,Katsugeki TOUKEN RANBU,37,141,3.81,3,8,3,2,21
654,Room Mate,37,94,2.54,13,6,9,3,6
655,Today's Menu for the Emiya Family,36,174,4.83,0,0,0,6,30
656,Angolmois: Record of Mongol Invasion,36,166,4.61,0,1,2,7,26
657,GeGeGe no Kitaro,36,160,4.44,2,2,0,6,26
658,Fastest Finger First,36,140,3.89,1,9,3,3,20
659,MEGANEBU!,36,131,3.64,2,7,6,8,13
660,Komori-san Can't Decline!,36,120,3.33,3,4,14,8,7
661,Joshi Kausei,36,117,3.25,6,5,7,10,8
662,Darwin's Game,35,170,4.86,0,0,1,3,31
663,Chio's School Road,35,168,4.8,0,0,2,3,30
664,Date A Live,35,155,4.43,1,2,3,4,25
665,Amanchu!,35,153,4.37,1,1,4,7,22
666,Fan Service,35,146,4.17,6,1,1,0,27
667,Holy Knight,35,90,2.57,15,6,2,3,9
668,Time Taxi,34,165,4.85,0,0,0,5,29
669,GTO,34,157,4.62,1,1,1,4,27
670,Nyanko Days,34,149,4.38,1,1,4,6,22
671,"How clumsy you are, Miss Ueno.",34,148,4.35,0,2,3,10,19
672,Hakuoki Season 1,34,142,4.18,1,2,4,10,17
673,Anne-Happy,34,140,4.12,0,4,3,12,15
674,GRANBELM,34,134,3.94,4,2,3,8,17
675,Garakowa -Restore the World-,34,130,3.82,0,5,8,9,12
676,MOBILE SUIT GUNDAM UNICORN RE:0096,34,123,3.62,5,3,5,8,13
677,Trickster,34,111,3.26,4,8,6,7,9
678,Star Blazers: Space Battleship Yamato,33,155,4.7,1,0,1,4,27
679,Utakoi,33,153,4.64,1,0,1,6,25
680,Nobunaga Concerto (Drama),33,152,4.61,0,2,2,3,26
681,Lord El-Melloi II's Case Files {Rail Zeppelin} Grace note,33,151,4.58,1,0,1,8,23
682,Harukana Receive,33,146,4.42,0,1,5,6,21
683,DOUBLE DECKER! DOUG & KIRILL,33,142,4.3,0,2,3,11,17
684,Fafner Exodus,33,138,4.18,4,1,1,6,21
685,Children of Ether,33,136,4.12,2,2,3,9,17
686,Fate/Grand Order ‐First Order‐,33,117,3.55,5,2,5,12,9
687,URAHARA,33,112,3.39,6,4,4,9,10
688,Sparrow's Hotel,33,105,3.18,8,3,4,11,7
689,Dances with the Dragons,33,89,2.7,9,6,6,10,2
690,BROTHERHOOD FINAL FANTASY XV,32,156,4.88,0,0,1,2,29
691,Young Black Jack,32,140,4.38,1,1,1,11,18
692,Meiji Tokyo Renka,32,136,4.25,2,1,2,9,18
693,Galilei Donna,32,109,3.41,1,6,11,7,7
694,Momo Kyun Sword,32,106,3.31,5,4,6,10,7
695,Love To-LIE-Angle,32,106,3.31,5,3,9,7,8
696,CHRONOS RULER,32,103,3.22,6,5,5,8,8
697,Yotsuiro Biyori,31,152,4.9,0,0,0,3,28
698,The Familiar of Zero,31,143,4.61,0,1,1,7,22
699,Fushigi Yugi,31,136,4.39,2,0,3,5,21
700,Comical Psychosomatic Medicine,31,126,4.06,1,1,5,12,12
701,Brave Witches,31,125,4.03,2,1,5,9,14
702,Caligula,31,109,3.52,5,3,6,5,12
703,Frankenstein Family,31,88,2.84,7,8,7,1,8
704,Between the Sky and Sea,31,73,2.35,15,4,4,2,6
705,Natsume Yuujinchou 5,30,147,4.9,0,0,1,1,28
706,Eureka Seven,30,146,4.87,0,0,1,2,27
707,BanG Dream!,30,134,4.47,1,1,1,7,20
708,"Stella Women’s Academy, High School Division Class C3",30,127,4.23,0,1,6,8,15
709,Dagashi Kashi,30,126,4.2,1,2,1,12,14
710,Mobile Suit Gundam Seed,30,124,4.13,3,1,4,3,19
711,Akiba's Trip The Animation,30,121,4.03,3,1,2,10,14
712,Mobile Suit Gundam Wing,30,117,3.9,1,4,5,7,13
713,Danchigai,30,117,3.9,0,4,8,5,13
714,Wish Upon the Pleiades,30,109,3.63,3,3,4,12,8
715,Strange+,30,105,3.5,5,4,3,7,11
716,Gunslinger Stratos THE ANIMATION,30,103,3.43,3,6,5,7,9
717,La corda d’oro -Blue Sky-,30,97,3.23,4,9,3,4,10
718,HAKYU HOSHIN ENGI,30,88,2.93,8,7,3,3,9
719,Try Knights,30,62,2.07,18,2,4,2,4
720,Muromi-san,29,136,4.69,0,1,1,4,23
721,SAIYUKI RELOAD BLAST,29,131,4.52,0,3,1,3,22
722,Zatch Bell!,29,129,4.45,1,1,2,5,20
723,Re:ZERO -Starting Life in Another World- SHORTS,29,122,4.21,3,1,1,6,18
724,Hinako Note,29,114,3.93,0,3,5,12,9
725,The File of Young Kindaichi Returns,29,113,3.9,1,2,7,8,11
726,Absolute Duo,29,105,3.62,3,3,5,9,9
727,Zettai Boei Leviatan,29,102,3.52,1,8,4,7,9
728,Fist of the Blue Sky: Regenesis,29,79,2.72,10,5,4,3,7
729,Monster Strike,29,75,2.59,13,3,2,5,6
730,Grimms Notes the Animation,29,72,2.48,12,3,7,2,5
731,Last Cinderella,28,137,4.89,0,0,0,3,25
732,Junjo Romantica,28,134,4.79,0,1,1,1,25
733,Yu-Gi-Oh! 5D's,28,132,4.71,0,0,1,6,21
734,Daily Lives of High School Boys,28,132,4.71,0,1,1,3,23
735,Little Nemo: Adventures in Slumberland,28,131,4.68,0,1,1,4,22
736,A Lull in the Sea (Nagi-Asu: Nagi no Asukara),28,128,4.57,1,0,3,2,22
737,Moyashimon,28,126,4.5,0,0,2,10,16
738,"Boku-no-imoutowa""Osaka-okan""",28,96,3.43,3,5,2,13,5
739,Seiren,28,95,3.39,1,6,9,5,7
740,Cheating Craft,28,84,3.0,4,9,5,3,7
741,Os Cavaleiros do Zodíaco,27,134,4.96,0,0,0,1,26
742,Mischievous Kiss 2 - Love in Okinawa,27,131,4.85,0,0,1,2,24
743,Wakakozake (Drama),27,127,4.7,1,0,0,4,22
744,Inugami-san to Nekoyama-san,27,117,4.33,0,1,3,9,14
745,ETOTAMA,27,104,3.85,3,2,5,3,14
746,True Cooking Master Boy,27,95,3.52,5,3,4,3,12
747,Xuan Yuan Sword Luminary,27,89,3.3,4,5,6,3,9
748,B-PROJECT,27,88,3.26,5,3,7,4,8
749,Fan Chronicles: Um Documentário Crunchyroll,27,37,1.37,24,0,1,0,2
750,Senryu Girl,26,124,4.77,0,0,0,6,20
751,Full Metal Panic!,26,124,4.77,0,0,1,4,21
752,Lovely Complex,26,123,4.73,0,0,2,3,21
753,Anohana: The Flower We Saw That Day (Drama),26,111,4.27,2,2,1,3,18
754,Anime de Training! Ex,26,98,3.77,3,1,8,1,13
755,CHAOS;CHILD,26,97,3.73,2,4,5,3,12
756,Code: Realize ~Guardian of Rebirth~,26,97,3.73,1,5,4,6,10
757,Phantom in the Twilight,26,93,3.58,1,4,7,7,7
758,Soul Buster,26,69,2.65,7,7,5,2,5
759,Arakawa Under the Bridge,25,119,4.76,0,0,2,2,21
760,Death Note,25,118,4.72,0,1,1,2,21
761,Locodol,25,110,4.4,0,1,1,10,13
762,Encouragement Of Climb,25,110,4.4,0,2,1,7,15
763,BAKUON!!,25,109,4.36,0,0,5,6,14
764,The Magnificent KOTOBUKI,25,99,3.96,3,0,2,10,10
765,Angel's 3Piece!,25,93,3.72,2,2,6,6,9
766,A Destructive God Sits Next to Me,25,88,3.52,5,2,4,3,11
767,R.O.D.,24,111,4.62,0,2,1,1,20
768,Scorching Ping Pong Girls,24,105,4.38,0,2,1,7,14
769,Yu-Gi-Oh! GX,24,103,4.29,3,0,1,3,17
770,Switch Girl!!,24,99,4.12,2,2,0,7,13
771,Future Diary: Another World,24,97,4.04,3,1,2,4,14
772,momokuri,24,97,4.04,0,3,4,6,11
773,The Laughing Salesman,24,92,3.83,4,1,2,5,12
774,Pan de Peace!,24,78,3.25,2,4,7,8,3
775,Straight Title Robot Anime,24,74,3.08,8,1,3,5,7
776,Antiquarian Bookshop Biblia's Case Files,23,114,4.96,0,0,0,1,22
777,Black Clover (Dublagens Internacionais),23,113,4.91,0,0,1,0,22
778,Yu-Gi-Oh! ARC-V,23,106,4.61,0,0,3,3,17
779,Liar Game,23,105,4.57,0,2,1,2,18
780,Yowamushi Pedal New Generation,23,103,4.48,1,1,1,3,17
781,Blade Runner Black Out 2022,23,103,4.48,2,0,0,4,17
782,Yakitate!! Japan,23,102,4.43,0,2,1,5,15
783,PERSONA5 the Animation -THE DAY BREAKERS-,23,98,4.26,1,2,1,5,14
784,Bokurano,23,96,4.17,2,2,1,3,15
785,Re-Kan!,23,96,4.17,0,2,4,5,12
786,The Moment You Fall in Love,23,94,4.09,2,2,1,5,13
787,Lychee Light Club,23,79,3.43,3,2,7,4,7
788,ARIA The ANIMATION,22,107,4.86,0,0,1,1,20
789,MAGICAL CIRCLE GURU-GURU,22,103,4.68,0,0,3,1,18
790,Ultraman Orb,22,103,4.68,1,0,0,3,18
791,Dororo Motion Magazine,22,102,4.64,1,0,0,4,17
792,Mr. TONEGAWA Middle Management Blues,22,101,4.59,0,1,1,4,16
793,Fate/Grand Order Absolute Demonic Front: Babylonia,22,92,4.18,3,1,0,3,15
794,Slow Start,22,91,4.14,0,3,2,6,11
795,Hell Girl: Fourth Twilight,22,87,3.95,2,3,3,0,14
796,Astro Boy Motion Magazine,22,82,3.73,4,0,5,2,11
797,Merc StoriA: The Apathetic Boy and the Girl in a Bottle,22,82,3.73,1,4,3,6,8
798,Fantasista Doll,22,80,3.64,2,4,4,2,10
799,Takamiya Nasuno Desu!,22,77,3.5,4,2,2,7,7
800,Aooni The Blue Monster,22,70,3.18,4,4,4,4,6
801,Maerchen Maedchen,22,68,3.09,5,3,5,3,6
802,JK-Meshi!,22,52,2.36,11,1,4,3,3
803,The Tatami Galaxy,21,104,4.95,0,0,0,1,20
804,Tonkatsu DJ Agetaro,21,97,4.62,0,0,2,4,15
805,Anime-Gataris,21,87,4.14,2,1,2,3,13
806,Riddle Story of Devil,21,86,4.1,1,1,2,8,9
807,Phoenix Motion Magazine,21,81,3.86,5,0,1,2,13
808,Gonna Be the Twin-Tail!!,21,76,3.62,3,3,1,6,8
809,Tokyo ESP,21,60,2.86,4,5,4,6,2
810,Lord of Vermilion: The Crimson King,21,54,2.57,6,6,3,3,3
811,The Twelve Kingdoms,20,97,4.85,0,0,1,1,18
812,Gurazeni: Money Pitch,20,95,4.75,0,0,1,3,16
813,Genshiken,20,90,4.5,0,1,1,5,13
814,Ooya-san wa Shishunki!,20,89,4.45,0,0,1,9,10
815,Girlish number,20,84,4.2,0,2,0,10,8
816,Future Card Buddyfight,20,84,4.2,2,0,2,4,12
817,Rowdy Sumo Wrestler Matsutaro,20,76,3.8,2,3,1,5,9
818,Sekko Boys,20,73,3.65,2,1,4,8,5
819,elDLIVE,20,67,3.35,5,2,3,1,9
820,Lostorage incited WIXOSS,20,66,3.3,2,6,2,4,6
821,Military!,20,64,3.2,5,3,3,1,8
822,Last Period: the journey to the end of the despair,20,63,3.15,5,3,2,4,6
823,Mahou Shoujo? Naria Girls,20,51,2.55,10,0,3,3,4
824,Schoolgirl Strikers,20,50,2.5,4,8,5,0,3
825,FOREST FAIRY FIVE,20,44,2.2,12,1,2,1,4
826,Hero,19,92,4.84,0,0,0,3,16
827,My Bride is a Mermaid,19,91,4.79,0,1,0,1,17
828,KAGEWANI,19,85,4.47,0,0,0,10,9
829,Gifu Dodo!! Kanetsugu and Keiji,19,80,4.21,0,3,2,2,12
830,VOICE OF FOX,19,78,4.11,0,2,4,3,10
831,Starlight Promises,19,78,4.11,1,0,2,9,7
832,DearS,19,69,3.63,1,3,4,5,6
833,Mahou Shoujo Nante Mouiidesukara,19,64,3.37,2,3,6,2,6
834,Hakone-chan,19,57,3.0,2,4,7,4,2
835,LUPIN THE 3rd PART4,18,88,4.89,0,0,0,2,16
836,Muhyo & Roji's Bureau of Supernatural Investigation,18,73,4.06,1,1,2,6,8
837,Magic-Kyun! Renaissance,18,72,4.0,1,1,5,1,10
838,Wakaba＊Girl,18,72,4.0,2,0,3,4,9
839,A Town Where You Live,18,71,3.94,1,2,3,3,9
840,Libra of Nil Admirari,18,71,3.94,0,2,3,7,6
841,Samurai Warriors,18,68,3.78,0,3,4,5,6
842,FLCL,18,66,3.67,1,3,4,3,7
843,Monster Hunter Stories Ride On,18,57,3.17,5,2,2,3,6
844,Fight League: Gear Gadget Generators,18,56,3.11,3,3,4,5,3
845,HIMOTE HOUSE: A share house of super psychic girls,18,48,2.67,8,0,2,6,2
846,The Irresponsible Galaxy Tylor,18,26,1.44,14,1,2,1,0
847,LUPIN THE 3rd PART 5,17,83,4.88,0,0,0,2,15
848,The Case Files of Jeweler Richard,17,81,4.76,0,0,1,2,14
849,Champion Joe 2,17,81,4.76,0,1,0,1,15
850,Please Teacher!,17,75,4.41,0,1,1,5,10
851,Samurai Jam-Bakumatsu Rock,17,73,4.29,0,1,3,3,10
852,Gangsta.,17,73,4.29,1,1,2,1,12
853,DD Fist of the North Star,17,72,4.24,2,0,0,5,10
854,Blue Submarine No. 6,17,59,3.47,3,1,3,5,5
855,Mangirl!,17,57,3.35,0,2,8,6,1
856,RWBY VOLUME 1-3: The Beginning,17,57,3.35,5,0,2,4,6
857,Majin Bone,17,56,3.29,3,2,5,1,6
858,Pikotaro no LULLABY LA LA BY,16,76,4.75,1,0,0,0,15
859,ENDRO!,16,76,4.75,0,0,2,0,14
860,MOBILE SUIT GUNDAM THE ORIGIN Advent of the Red Comet,16,75,4.69,0,0,1,3,12
861,MAJOR 2nd,16,74,4.62,0,0,1,4,11
862,Anima Yell!,16,74,4.62,0,0,0,6,10
863,Hi-sCool! Seha Girls,16,69,4.31,0,0,5,1,10
864,The Princess and the Pilot,16,68,4.25,0,1,2,5,8
865,Crunchycast,16,67,4.19,1,1,2,2,10
866,Z/X IGNITION,16,64,4.0,0,1,4,5,6
867,Yu-Gi-Oh! ZEXAL,16,64,4.0,2,1,2,1,10
868,Hackadoll THE ANIMATION,16,62,3.88,1,1,2,7,5
869,Gundam Build Divers,16,60,3.75,1,1,5,3,6
870,Onara Goro,16,57,3.56,1,4,2,3,6
871,VIRTUALSAN - LOOKING,16,50,3.12,4,3,1,3,5
872,Wagamama High Spec,16,42,2.62,3,4,5,4,0
873,Taisho Mebiusline Chicchaisan,16,33,2.06,8,2,3,3,0
874,Outlaw Star,15,71,4.73,0,1,0,1,13
875,Ninja Girl & Samurai Master,15,70,4.67,0,0,0,5,10
876,Tiger Mask W,15,70,4.67,0,0,0,5,10
877,JOKER,15,66,4.4,0,0,2,5,8
878,Donyatsu,15,65,4.33,1,1,0,3,10
879,Tribe Cool Crew,15,64,4.27,1,0,1,5,8
880,Kyo Kara Maoh,15,63,4.2,3,0,0,0,12
881,Cardfight!! Vanguard Asia Circuit (Season 2),15,62,4.13,2,1,1,0,11
882,AMAZING STRANGER,15,56,3.73,3,0,1,5,6
883,Fullmetal Alchemist: The Conqueror of Shamballa,15,54,3.6,3,1,1,4,6
884,Yatogame-chan Kansatsu Nikki,15,48,3.2,2,2,5,3,3
885,Mobile Suit Gundam Seed Destiny,15,45,3.0,3,3,4,1,4
886,Squishy! Black Clover,15,42,2.8,7,1,1,0,6
887,The Eccentric Family 2,14,69,4.93,0,0,0,1,13
888,Yurikuma Arashi,14,66,4.71,0,0,1,2,11
889,Traveling Daru,14,65,4.64,0,1,0,2,11
890,Mitchiri Neko,14,62,4.43,0,1,1,3,9
891,Asteroid in Love,14,61,4.36,1,0,1,3,9
892,Ultraman X,14,60,4.29,1,1,1,1,10
893,Cardfight!! Vanguard Link Joker (Season 3),14,60,4.29,1,1,1,1,10
894,The Dragon Dentist,14,59,4.21,1,1,1,2,9
895,Touken Ranbu - Hanamaru,14,56,4.0,0,3,2,1,8
896,Tesagure! Bukatsumono,14,54,3.86,2,0,2,4,6
897,Crossing Time,14,54,3.86,1,0,3,6,4
898,Peeping Life TV Season 1??,14,49,3.5,4,0,0,5,5
899,Nurse Witch KOMUGI R,14,48,3.43,2,0,6,2,4
900,Cardfight!! Vanguard G,14,48,3.43,3,1,3,1,6
901,You Don't Know Gunma Yet,14,44,3.14,4,1,0,7,2
902,OZMAFIA!!,14,42,3.0,3,3,2,3,3
903,HEYBOT!,14,40,2.86,4,3,2,1,4
904,Anime Academy,14,37,2.64,8,0,0,1,5
905,Library War,13,63,4.85,0,0,0,2,11
906,MIX,13,63,4.85,0,0,0,2,11
907,Crazy For Me,13,61,4.69,0,1,0,1,11
908,Space Battleship Tiramisu,13,60,4.62,0,0,2,1,10
909,Os Cavaleiros do Zodíaco - Saga de Hades,13,59,4.54,0,1,1,1,10
910,Tabimachi Lateshow,13,59,4.54,0,0,1,4,8
911,IRYU - Team Medical Dragon,13,59,4.54,0,0,0,6,7
912,Deltora Quest,13,58,4.46,1,0,0,3,9
913,Wooser's Hand-to-Mouth Life,13,49,3.77,0,2,4,2,5
914,Girl Friend BETA,13,48,3.69,0,2,3,5,3
915,World Fool News,13,47,3.62,1,2,2,4,4
