,anime,votes,weight,rate,rate_1,rate_2,rate_3,rate_4,rate_5
916,Love Rice,13,45,3.46,1,3,3,1,5
917,Tenjho Tenge,13,35,2.69,4,3,0,5,1
918,Kaiba,12,60,5.0,0,0,0,0,12
919,BONO BONO,12,59,4.92,0,0,0,1,11
920,Hikaru no Go,12,58,4.83,0,0,0,2,10
921,MARGINAL #4 the Animation,12,54,4.5,0,1,0,3,8
922,Miss Bernard said.,12,53,4.42,0,0,2,3,7
923,Cinderella Nine,12,51,4.25,0,1,3,0,8
924,Gunbuster 2,12,51,4.25,0,2,1,1,8
925,Koro Sensei Quest!,12,51,4.25,1,0,2,1,8
926,Nyanbo!,12,49,4.08,0,1,1,6,4
927,Null & Peta,12,47,3.92,1,2,1,1,7
928,"Ceres, Celestial Legend",12,46,3.83,0,2,3,2,5
929,Sorcery in the Big City,12,45,3.75,0,3,2,2,5
930,DREAM FESTIVAL!,12,44,3.67,2,1,2,1,6
931,Tantei Team KZ Jiken Note,12,44,3.67,0,0,6,4,2
932,Butlers X Battlers,12,39,3.25,1,3,4,0,4
933,This Boy Suffers from Crystallization,12,38,3.17,1,3,4,1,3
934,Milpom,12,32,2.67,4,1,3,3,1
935,Urawa no Usagi-chan,12,31,2.58,4,2,2,3,1
936,BAKUMATSU,12,28,2.33,5,3,1,1,2
937,Dr. Coto's Clinic,11,55,5.0,0,0,0,0,11
938,Detective vs Detectives,11,55,5.0,0,0,0,0,11
939,Samurai Troopers,11,54,4.91,0,0,0,1,10
940,Gundam Build Fighters,11,54,4.91,0,0,0,1,10
941,Cromartie High School,11,52,4.73,0,0,1,1,9
942,Oda Cinnamon Nobunaga,11,51,4.64,0,0,2,0,9
943,Mobile Fighter G Gundam,11,49,4.45,0,0,2,2,7
944,Magia Record: Puella Magi Madoka Magica Side Story,11,49,4.45,0,1,1,1,8
945,Starmyu,11,48,4.36,1,0,0,3,7
946,ROOM CAMP,11,47,4.27,0,2,0,2,7
947,Akagi (Drama),11,47,4.27,0,2,0,2,7
948,KING OF PRISM -Shiny Seven Stars-,11,46,4.18,2,0,0,1,8
949,Robot Girls Z,11,46,4.18,1,0,2,1,7
950,Piacevole,11,45,4.09,0,0,1,8,2
951,Our Home's Fox Deity,11,45,4.09,0,0,2,6,3
952,ClassicaLoid,11,43,3.91,1,1,2,1,6
953,Magical Somera-chan,11,41,3.73,0,2,2,4,3
954,NINJA SLAYER FROM ANIMATION,11,40,3.64,3,0,0,3,5
955,DEMIAN,11,39,3.55,1,2,2,2,4
956,PES: Peace Eco Smile,11,33,3.0,3,2,1,2,3
957,TWOCAR,11,28,2.55,4,2,2,1,2
958,Wonder Momo,11,25,2.27,3,4,3,0,1
959,Call to Cosplay,11,22,2.0,6,1,2,2,0
960,A Talk on Titan,11,18,1.64,9,0,0,1,1
961,We Rent Tsukumogami,10,50,5.0,0,0,0,0,10
962,Why Did You Come to Japan?,10,50,5.0,0,0,0,0,10
963,Flame of Recca,10,50,5.0,0,0,0,0,10
964,Book Girl,10,49,4.9,0,0,0,1,9
965,Hard To Say I Love You,10,47,4.7,0,0,1,1,8
966,Princess Nine,10,46,4.6,0,1,0,1,8
967,Bludgeoning Angel Dokuro-chan,10,46,4.6,1,0,0,0,9
968,Full Metal Panic? Fumoffu,10,46,4.6,0,0,1,2,7
969,Jin Roh,10,45,4.5,0,1,0,2,7
970,Hina Logic - from Luck & Logic,10,43,4.3,0,0,2,3,5
971,Da Capo III,10,43,4.3,0,0,2,3,5
972,DRAGON COLLECTION,10,40,4.0,1,1,1,1,6
973,ANISAVA,10,40,4.0,1,0,1,4,4
974,Minami Kamakura High School Girls Cycling Club,10,40,4.0,1,0,1,4,4
975,Ebiten,10,36,3.6,2,0,2,2,4
976,Zombie Loan,10,35,3.5,0,1,4,4,1
977,A Taste of Honey,10,33,3.3,3,1,0,2,4
978,Inuyasha,9,45,5.0,0,0,0,0,9
979,Samurai Pizza Cats,9,44,4.89,0,0,0,1,8
980,Wild Mom,9,44,4.89,0,0,0,1,8
981,Galileo,9,43,4.78,0,0,0,2,7
982,Digimon Universe App Monsters,9,42,4.67,0,0,1,1,7
983,Always the Two of Us,9,40,4.44,0,0,1,3,5
984,Looking Up at the Half-Moon,9,40,4.44,1,0,0,1,7
985,Ordinary Miracles,9,39,4.33,1,0,1,0,7
986,Shonen Ashibe GO! GO! Goma-chan,9,39,4.33,0,0,2,2,5
987,Chrono Crusade,9,38,4.22,0,0,1,5,3
988,Shamanic Princess,9,33,3.67,0,2,2,2,3
989,Dimension High School,9,30,3.33,2,0,2,3,2
990,Million Arthur,9,27,3.0,1,4,1,0,3
991,Ikemen Sengoku: Bromances Across Time,8,40,5.0,0,0,0,0,8
992,Gakuen Alice,8,40,5.0,0,0,0,0,8
993,Ghostwriter,8,40,5.0,0,0,0,0,8
994,Martian Successor Nadesico,8,40,5.0,0,0,0,0,8
995,PriPri Chi-chan!!,8,40,5.0,0,0,0,0,8
996,Ultraman Geed,8,39,4.88,0,0,0,1,7
997,Angel Heart,8,39,4.88,0,0,0,1,7
998,Shin Atashinchi,8,39,4.88,0,0,0,1,7
999,Power Office Girls 2013,8,37,4.62,0,0,0,3,5
1000,You Taught Me All the Precious Things,8,36,4.5,0,0,1,2,5
1001,Kiitaro's yokai picture diary,8,34,4.25,1,0,0,2,5
1002,Working Buddies!,8,34,4.25,0,0,2,2,4
1003,"You're Being Summoned, Azazel",8,34,4.25,1,0,0,2,5
1004,KOWABON,8,34,4.25,0,0,2,2,4
1005,Mazinkaiser SKL,8,33,4.12,0,1,1,2,4
1006,Ai-Mai-Mi Mousou Catastrophe,8,31,3.88,1,0,1,3,3
1007,The Nameko Families,8,30,3.75,1,0,2,2,3
1008,THE [email protected] CINDERELLA GIRLS Theater,8,30,3.75,2,0,1,0,5
1009,GTO Taiwan,8,30,3.75,0,0,4,2,2
1010,TSUKIPRO THE ANIMATION,8,30,3.75,0,1,1,5,1
1011,Twin Angels BREAK,8,29,3.62,1,0,2,3,2
1012,FINAL FANTASY XV: EPISODE ARDYN – PROLOGUE,8,28,3.5,1,1,2,1,3
1013,Jubei-chan: The Ninja Girl,8,28,3.5,1,1,2,1,3
1014,BAKUMATSU GIJINDEN ROMAN,8,27,3.38,1,1,2,2,2
1015,Shiratori Reiko,8,27,3.38,1,1,2,2,2
1016,DNA^2,8,27,3.38,2,0,1,3,2
1017,Peacemaker,8,23,2.88,3,0,1,3,1
1018,Shining Tears X Wind,8,21,2.62,2,2,2,1,1
1019,Rainy Cocoa sideG,8,15,1.88,4,2,1,1,0
1020,Group Watch,7,35,5.0,0,0,0,0,7
1021,Desperate Motherhood,7,35,5.0,0,0,0,0,7
1022,Hikakin Beatbox,7,35,5.0,0,0,0,0,7
1023,Kimagure Orange Road,7,35,5.0,0,0,0,0,7
1024,Zapuni,7,34,4.86,0,0,0,1,6
1025,Gakuen Heaven,7,34,4.86,0,0,0,1,6
1026,Marmalade Boy,7,34,4.86,0,0,0,1,6
1027,Tsukimonogatari,7,34,4.86,0,0,0,1,6
1028,The Prince of Tennis II OVA vs Genius 10,7,33,4.71,0,0,1,0,6
1029,Mobile Suit Gundam Wing - Endless Waltz,7,33,4.71,0,0,1,0,6
1030,Honey and Clover,7,33,4.71,0,0,1,0,6
1031,Anonymous Noise,7,33,4.71,0,0,0,2,5
1032,Big Windup! 2,7,33,4.71,0,0,1,0,6
1033,KAIJU GIRLS,7,32,4.57,0,0,1,1,5
1034,Brave Beats,7,31,4.43,0,1,0,1,5
1035,Ghost Slayers Ayashi,7,31,4.43,0,0,0,4,3
1036,Karate Girl,7,31,4.43,0,0,1,2,4
1037,Nagasarete Airanto,7,30,4.29,1,0,0,1,5
1038,Thermae Romae,7,30,4.29,0,1,0,2,4
1039,Ai-Mai-Mi Surgical Friends,7,27,3.86,1,0,2,0,4
1040,Late night! The Genius Bakabon,7,27,3.86,1,0,1,2,3
1041,Earl and Fairy,7,26,3.71,1,0,2,1,3
1042,Cardfight!! Vanguard Legion Mate (Season 4),7,26,3.71,2,0,0,1,4
1043,Welcome to the JAPARI PARK,7,25,3.57,2,0,0,2,3
1044,Anime Recap,7,25,3.57,1,2,0,0,4
1045,Idol Incidents,7,24,3.43,0,2,1,3,1
1046,HEROBANK,7,22,3.14,2,1,1,0,3
1047,SD GUNDAM WORLD SANGOKU SOKETSUDEN,7,20,2.86,3,0,1,1,2
1048,Pastel Memories,7,19,2.71,2,2,1,0,2
1049,Million Doll,7,17,2.43,1,3,2,1,0
1050,Nazotokine,7,11,1.57,4,2,1,0,0
1051,Lupin the Third Part 2,6,30,5.0,0,0,0,0,6
1052,Emma: A Victorian Romance,6,28,4.67,0,0,1,0,5
1053,Ultraman Gaia,6,28,4.67,0,0,1,0,5
1054,True Tears,6,28,4.67,0,0,0,2,4
1055,Anisong Station,6,27,4.5,0,1,0,0,5
1056,Nekomonogatari Black,6,26,4.33,1,0,0,0,5
1057,Wacky TV Nanana,6,26,4.33,0,0,2,0,4
1058,SENGOKUCHOJYUGIGA,6,25,4.17,1,0,0,1,4
1059,Lupin the Third Part 1,6,25,4.17,1,0,0,1,4
1060,Please Twins!,6,25,4.17,0,0,1,3,2
1061,gdgd men's party,6,24,4.0,1,0,0,2,3
1062,Hana Yori Dango (Boys Over Flowers),6,24,4.0,0,1,1,1,3
1063,Usakame,6,23,3.83,0,2,0,1,3
1064,Music Girls,6,22,3.67,0,1,2,1,2
1065,Lost Universe,6,22,3.67,0,1,0,5,0
1066,Fist of the North Star: The Movie,6,22,3.67,2,0,0,0,4
1067,Ultraman Nexus,6,21,3.5,2,0,0,1,3
1068,Dallos,6,20,3.33,1,1,0,3,1
1069,El-Hazard: The Wanderers,6,19,3.17,1,1,2,0,2
1070,Ah My Buddha!!,6,18,3.0,0,2,2,2,0
1071,Street Fighter II: The Animated Series,6,17,2.83,1,2,1,1,1
1072,Chargeman Ken,6,15,2.5,3,1,0,0,2
1073,Rainy Cocoa,6,14,2.33,2,2,0,2,0
1074,Crane Game Girls,6,12,2.0,3,1,1,1,0
1075,"Welcome, Chitose",5,25,5.0,0,0,0,0,5
1076,Meow Meow Japanese History,5,25,5.0,0,0,0,0,5
1077,Accel World,5,25,5.0,0,0,0,0,5
1078,The Last - Naruto the Movie,5,25,5.0,0,0,0,0,5
1079,Inukami!,5,24,4.8,0,0,0,1,4
1080,Street Fighter II The Animated Movie,5,24,4.8,0,0,0,1,4
1081,Gokudo,5,24,4.8,0,0,0,1,4
1082,Sketchbook ~full color's~,5,24,4.8,0,0,0,1,4
1083,Girls Beyond the Wasteland,5,23,4.6,0,0,0,2,3
1084,Frame Arms Girl,5,23,4.6,0,0,0,2,3
1085,Matoi the Sacred Slayer,5,23,4.6,0,0,0,2,3
1086,Shingu: Secret of the Stellar Wars,5,23,4.6,0,0,1,0,4
1087,THE [email protected] CINDERELLA GIRLS,5,22,4.4,0,0,1,1,3
1088,The Third: The Girl with the Blue Eye,5,22,4.4,0,0,0,3,2
1089,Undefeated Bahamut Chronicle,5,22,4.4,0,0,0,3,2
1090,Hagane Orchestra,5,22,4.4,0,0,0,3,2
1091,Long Riders!,5,21,4.2,0,0,1,2,2
1092,Doctor's Affairs,5,21,4.2,0,0,1,2,2
1093,Unriddle,5,20,4.0,1,0,0,1,3
1094,Strike Witches: 501st JOINT FIGHTER WING Take Off!,5,20,4.0,1,0,0,1,3
1095,High School Entrance Exam,5,20,4.0,0,0,2,1,2
1096,The Golden Path,5,19,3.8,1,0,0,2,2
1097,Miss Machiko,5,19,3.8,1,0,1,0,3
1098,Lily C.A.T,5,18,3.6,1,0,1,1,2
1099,Key the Metal Idol,5,18,3.6,1,1,0,0,3
1100,Time Bokan 24,5,18,3.6,1,0,0,3,1
1101,The Journey Home,5,17,3.4,2,0,0,0,3
1102,Ultraman Ginga,5,17,3.4,1,0,2,0,2
1103,Fushigi Yugi: Eikoden,5,16,3.2,1,1,1,0,2
1104,NAMUAMIDABUTSU! -UTENA-,5,15,3.0,1,1,1,1,1
1105,Norn9,5,14,2.8,2,1,0,0,2
1106,The World YAMIZUKAN,5,13,2.6,1,1,2,1,0
1107,Pilot Candidate,5,11,2.2,2,1,1,1,0
1108,The Sprites of Floria,5,11,2.2,3,0,1,0,1
1109,Onimusha: Dawn of Dreams,5,8,1.6,3,1,1,0,0
1110,LiSA TV,4,20,5.0,0,0,0,0,4
1111,Fate/Grand Order -MOONLIGHT/LOSTROOM-,4,20,5.0,0,0,0,0,4
1112,Ghastly Prince Enma Burning Up,4,20,5.0,0,0,0,0,4
1113,Blue Seed,4,20,5.0,0,0,0,0,4
1114,Elemental Gelade,4,20,5.0,0,0,0,0,4
1115,Full Metal Panic! The Second Raid,4,20,5.0,0,0,0,0,4
1116,CARDFIGHT!! VANGUARD,4,20,5.0,0,0,0,0,4
1117,Super Gals!,4,20,5.0,0,0,0,0,4
1118,Tamayura Hitotose,4,19,4.75,0,0,0,1,3
1119,The Perfect Insider (Drama),4,19,4.75,0,0,0,1,3
1120,Gokuaku Ganbo,4,19,4.75,0,0,0,1,3
1121,Slam Dunk (Dub),4,19,4.75,0,0,0,1,3
1122,Uchitama?! Have you seen my Tama?,4,19,4.75,0,0,0,1,3
1123,Unico In the Island of Magic,4,18,4.5,0,0,1,0,3
1124,Sea Prince and the Fire Child,4,18,4.5,0,0,0,2,2
1125,A Wind Named Amnesia,4,18,4.5,0,0,0,2,2
1126,The Legend of Black Heaven,4,17,4.25,0,0,0,3,1
1127,Space Pirate Mito,4,17,4.25,0,0,1,1,2
1128,W'z,4,17,4.25,0,0,0,3,1
1129,The 101st Proposal,4,16,4.0,0,1,0,1,2
1130,Ninja Nonsense,4,16,4.0,0,0,0,4,0
1131,CLIF,4,15,3.75,1,0,0,1,2
1132,Onna Nobunaga,4,14,3.5,1,0,1,0,2
1133,Phoenix,4,14,3.5,1,0,1,0,2
1134,Photon the Idiot Adventures,4,14,3.5,1,0,1,0,2
1135,100% Teacher Pascal,4,13,3.25,1,0,1,1,1
1136,Crunchyroll Collection,4,12,3.0,2,0,0,0,2
1137,Princess Knight,4,12,3.0,1,1,0,1,1
1138,Koi Koi Seven,4,11,2.75,0,3,0,0,1
1139,EAT-MAN,4,11,2.75,0,3,0,0,1
1140,Shinobi Girl,4,4,1.0,4,0,0,0,0
1141,Mazinger Edition Z,3,15,5.0,0,0,0,0,3
1142,He Was Anime (NFL's Mike Daniels),3,15,5.0,0,0,0,0,3
1143,K,3,15,5.0,0,0,0,0,3
1144,Lupin the Third Part 3,3,14,4.67,0,0,0,1,2
1145,Forget Me Not,3,14,4.67,0,0,0,1,2
1146,Investor Z (Motion Manga),3,14,4.67,0,0,0,1,2
1147,Toward the Terra,3,14,4.67,0,0,0,1,2
1148,Hakata Mentai! Pirikarako-chan,3,14,4.67,0,0,0,1,2
1149,22/7 (nanabun no nijyuuni),3,14,4.67,0,0,0,1,2
1150,Giant Gorg,3,13,4.33,0,0,0,2,1
1151,Cat's Eye,3,12,4.0,0,1,0,0,2
1152,Fushigi Yugi OVA,3,12,4.0,0,0,1,1,1
1153,Fantastic Adventures of Unico,3,12,4.0,0,0,1,1,1
1154,Makeruna!! Aku no Gundan!,3,12,4.0,0,1,0,0,2
1155,ARP Backstage Pass,3,11,3.67,1,0,0,0,2
1156,The Galaxy Railways: A Letter from the Abandoned Planet,3,11,3.67,0,1,0,1,1
1157,Cardcaptor Sakura: The Movie,3,11,3.67,0,0,1,2,0
1158,Vampire Knight,3,11,3.67,0,1,0,1,1
1159,Accel World: Infinite Burst,3,10,3.33,0,0,2,1,0
1160,Super Robot Wars: Original Generation,3,10,3.33,0,1,0,2,0
1161,Fantastic Detective Labyrinth,3,9,3.0,0,1,1,1,0
1162,Days of Urashimasakatasen,3,9,3.0,1,0,1,0,1
1163,Umi Monogatari,3,9,3.0,0,1,1,1,0
1164,Aachi & Ssipak,3,9,3.0,1,0,0,2,0
1165,The Ultimatum,3,7,2.33,1,0,2,0,0
1166,Onyankopon,3,5,1.67,2,0,1,0,0
1167,Space Adventure Cobra,2,10,5.0,0,0,0,0,2
1168,SHONEN HOLLYWOOD -HOLLY STAGE FOR 49-,2,10,5.0,0,0,0,0,2
1169,Black Jack The Movie,2,10,5.0,0,0,0,0,2
1170,Battle Girl High School,2,10,5.0,0,0,0,0,2
1171,Tenchi Muyo! Ryo-Ohki,2,10,5.0,0,0,0,0,2
1172,Magic of Stella,2,10,5.0,0,0,0,0,2
1173,Banpresto World Figure Colosseum,2,10,5.0,0,0,0,0,2
1174,Beyblade: Metal Fusion,2,10,5.0,0,0,0,0,2
1175,Robot Carnival,2,10,5.0,0,0,0,0,2
1176,Cardcaptor Sakura the Movie 2: The Sealed Card,2,10,5.0,0,0,0,0,2
1177,Night on the Galactic Railroad,2,9,4.5,0,0,0,1,1
1178,The Diary of Ochibi (Motion Manga),2,9,4.5,0,0,0,1,1
1179,Strait Jacket,2,9,4.5,0,0,0,1,1
1180,Luck & Logic,2,9,4.5,0,0,0,1,1
1181,Happy Life,2,9,4.5,0,0,0,1,1
1182,The Wonderful Wizard of Oz,2,9,4.5,0,0,0,1,1
1183,Tofugu,2,9,4.5,0,0,0,1,1
1184,THE [email protected] Side M,2,9,4.5,0,0,0,1,1
1185,Pita-Ten,2,8,4.0,0,0,1,0,1
1186,Iida Tokimeki Trip,2,8,4.0,0,0,1,0,1
1187,Ringing Bell,2,8,4.0,0,0,1,0,1
1188,"Kizuna AI 1st Live ""hello, world""",2,8,4.0,0,0,1,0,1
1189,Dancouga: Super Beast Machine God,2,8,4.0,0,0,1,0,1
1190,Saint Seiya Hades (EN),2,8,4.0,0,0,1,0,1
1191,The Tenth Prism (Motion Manga),2,8,4.0,0,0,1,0,1
1192,The Glass Mask Year 3 Class D,2,8,4.0,0,0,0,2,0
1193,Life in Additional Time,2,8,4.0,0,0,0,2,0
1194,Action Heroine Cheer Fruits,2,7,3.5,0,1,0,0,1
1195,Ultra Maniac,2,7,3.5,0,0,1,1,0
1196,Chiruran 1/2,2,7,3.5,0,0,1,1,0
1197,Japa Con Presents: Agent HaZAP,2,6,3.0,1,0,0,0,1
1198,ORECA BATTLE,2,6,3.0,0,0,2,0,0
1199,PEACE MAKER KUROGANE,2,6,3.0,1,0,0,0,1
1200,THE [email protected] SideM  Wakeatte Mini!,2,6,3.0,1,0,0,0,1
1201,Female Convict Scorpion,2,6,3.0,0,0,2,0,0
1202,Dai-Guard,2,5,2.5,0,1,1,0,0
1203,Gasaraki,2,5,2.5,0,1,1,0,0
1204,Soul Link,2,4,2.0,1,0,1,0,0
1205,Shinobi Girl: The Movie,2,4,2.0,1,0,1,0,0
1206,DYNAMIC CHORD,2,2,1.0,2,0,0,0,0
1207,SHOKU-KING (Motion Manga),1,5,5.0,0,0,0,0,1
1208,Sailor Moon R: The Movie,1,5,5.0,0,0,0,0,1
1209,Katana Maidens ~ Mini Toji,1,5,5.0,0,0,0,0,1
1210,Naruto the Movie: Ninja Clash in the Land of Snow,1,5,5.0,0,0,0,0,1
1211,Naruto the Movie: Legend of the Stone of Gelel,1,5,5.0,0,0,0,0,1
1212,Jungle Emperor Leo,1,5,5.0,0,0,0,0,1
1213,Naruto the Movie: Guardians of the Crescent Moon Kingdom,1,5,5.0,0,0,0,0,1
1214,GoShogun,1,5,5.0,0,0,0,0,1
1215,NG Knight Lamune & 40,1,5,5.0,0,0,0,0,1
1216,Road To Ninja -Naruto the Movie,1,5,5.0,0,0,0,0,1
1217,The Crunchyroll Anime Awards,1,5,5.0,0,0,0,0,1
1218,Gakuen Basara: Samurai High School,1,5,5.0,0,0,0,0,1
1219,Kamen no Maid Guy,1,5,5.0,0,0,0,0,1
1220,EAT-MAN '98,1,5,5.0,0,0,0,0,1
1221,Knuspercast,1,5,5.0,0,0,0,0,1
1222,Magic User's Club,1,5,5.0,0,0,0,0,1
1223,Steel Fisted Dragon,1,5,5.0,0,0,0,0,1
1224,VS Knight Lamune & 40 Fire,1,5,5.0,0,0,0,0,1
1225,Naruto Shippuden the Movie: The Will of Fire,1,5,5.0,0,0,0,0,1
1226,Divine Gate,1,4,4.0,0,0,0,1,0
1227,Wooser’s Hand-to-Mouth Life: Phantasmagoric Arc,1,4,4.0,0,0,0,1,0
1228,Soul Hunter,1,4,4.0,0,0,0,1,0
1229,God Mars,1,3,3.0,0,0,1,0,0
1230,Arcana,1,3,3.0,0,0,1,0,0
1231,SNACK WORLD,1,2,2.0,0,1,0,0,0
1232,8 Man After,1,1,1.0,1,0,0,0,0
1233,Zo Zo Zombie,1,1,1.0,1,0,0,0,0
1234,Cosmo Warrior Zero,1,1,1.0,1,0,0,0,0
1235,Mischievous Kiss - The Movie,0,0,0.0,0,0,0,0,0
1236,K Missing Kings,0,0,0.0,0,0,0,0,0
1237,Naruto Shippuden the Movie: Blood Prison,0,0,0.0,0,0,0,0,0
1238,The Adventures of the Little Prince,0,0,0.0,0,0,0,0,0
1239,Inuyasha the Movie 3: Swords of an Honorable Ruler,0,0,0.0,0,0,0,0,0
1240,Swan Lake,0,0,0.0,0,0,0,0,0
1241,Psybuster,0,0,0.0,0,0,0,0,0
1242,Crunchyroll Convention Highlights,0,0,0.0,0,0,0,0,0
1243,Captain Harlock: Arcadia of my Youth - Endless Orbit SSX,0,0,0.0,0,0,0,0,0
1244,Inuyasha the Movie 2: The Castle Beyond the Looking Glass,0,0,0.0,0,0,0,0,0
1245,K: Seven Stories,0,0,0.0,0,0,0,0,0
1246,The Dragon Lives,0,0,0.0,0,0,0,0,0
1247,Inuyasha the Movie:  Affections Touching Across Time,0,0,0.0,0,0,0,0,0
1248,Naruto Shippuden the Movie: The Lost Tower,0,0,0.0,0,0,0,0,0
1249,Inuyasha the Movie 4: Fire On the Mystic Island,0,0,0.0,0,0,0,0,0
1250,Space Warrior Baldios,0,0,0.0,0,0,0,0,0
1251,Captain Harlock: Arcadia of my Youth,0,0,0.0,0,0,0,0,0
1252,Osomatsu-kun,0,0,0.0,0,0,0,0,0
1253,Magic User's Club OVA,0,0,0.0,0,0,0,0,0
1254,Izumo: Flash of a Brave Sword,0,0,0.0,0,0,0,0,0
